"Vacancy Name","Candidate Name","Date of Application",Status,Phone,Email,Comments,Keywords
"Vacancy for Customer Support Specalist - USA","Ashley McKenzie",2023-10-03,"Application Received",,ashmack@mailinator.com,,
"Vacancy for Customer Support Specalist - USA","Wyatt Davis",2023-10-03,"Application Received",,wyattdavis@mailinator.com,,
"Vacancy for Sales Manager","Andrew Clark",2023-09-27,Hired,,andrew_clark@yahoo.com,,
"Vacancy for Sales Manager","James Marsh",2023-09-27,Shortlisted,,james88@hotmail.com,,
"Vacancy for Sales Manager","John Roe",2023-09-27,"Reference Check",,johnroe@live.com,,
"Vacancy for Sales Manager","Michelle Sanders",2023-09-27,"321 Forms Onboarding",,michelle80@hotmail.com,,
"Vacancy for Sales Manager","Rachel Michael",2023-09-27,"Panel Interview",,rachel98@hotmail.com,,
"Vacancy for HR Assistant - UK","Callie Torress",2023-06-04,"Job Offer","01632 960112",torresscallie@mail.com,,
"Vacancy for HR Assistant - UK","Christina Tang",2023-06-04,Shortlisted,"01632 960524",christinatang@mail.com,,
"Vacancy for HR Assistant - UK","Derek Sheperd",2023-06-04,"Application Received","01632 960258",dsheperd@mail.com,,
"Vacancy for HR Assistant - UK","Mark Sloan",2023-06-04,"Skills-Based Interview","01632 960015",marksloan@mail.com,,
"Vacancy for Project Manager - India","Adhiraj Patel",2023-06-04,"HR Interview Round",917428753951,adhirajpatel@gmail.com,,
"Vacancy for Project Manager - India","Ashutosh Shiv",2023-06-04,"Technical-Based Interview",917425830894,ashutoshshiv@gmail.com,,
"Vacancy for Project Manager - India","Dhruv Sharma",2023-06-04,Shortlisted,917428130895,dhruvsharma@gmail.com,,
"Vacancy for Project Manager - India","Ojash Shish",2023-06-04,"Application Received",917428730894,ojashshish@gmail.com,,
"Vacancy for Project Manager - India","Santosh Kumar",2023-06-04,"Job Offer",917853690894,kumars123@gmail.com,,
"Vacancy for Senior Web Developer - USA","Alex Karev",2023-06-04,Rejected,202-555-0120,Alexk@gmail.com,,
"Vacancy for Senior Web Developer - USA","Christine Smith",2023-06-04,"Skills-Based Interview",+1(970)333-3833,christine.smith@gmail.com,,
"Vacancy for Senior Web Developer - USA","Isabelle Todd",2023-06-04,"Technical-Based Interview",202-555-0181,Isabelletodd@gmail.com,,"MVC frameworks ( Symfony, Laravel), DevOps ( Ansible, Docker), AJAX/NGINX and REST APIs"
"Vacancy for Senior Web Developer - USA","Isabelle Todd",2023-06-04,"Aptitude Test",202-555-0181,Isabelletodd@gmail.com,,"MVC frameworks ( Symfony, Laravel), DevOps ( Ansible, Docker), AJAX/NGINX and REST APIs"
"Vacancy for Senior Web Developer - USA","Patrick Morgan",2023-06-04,Shortlisted,+1(970)333-3833,patric.morgan@mail.com,,
"Vacancy for Senior Web Developer - USA","Rissa Quan",2023-06-04,"Technical-Based Interview",202-555-0181,rissaquan@hotmail.com,,
"Vacancy for Senior Web Developer - USA","Rissa Quan",2023-06-04,"Aptitude Test",202-555-0181,rissaquan@hotmail.com,,
"Vacancy for Senior Web Developer - USA","Susan Williams",2023-06-04,"Application Received",+1(970)333-3833,susan.williams@gmail.com,,
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"Hi Tian. After reviewing Anthony's application, I believe he meets the initial requirements for the HR assistant position. I would like to shortlist him for the next stage. Can you please schedule a HR round interview for him?","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"Absolutely, Amadi. I'll contact Anthony to schedule the HR round interview. I'll provide him with the necessary details and find a suitable time for the interview.","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com," Tian, after the HR Round interview, I'd like to assess Anthony's overall knowledge for the Project Manager role. Can you arrange for an technical round?","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"Of course, Amadi. I'll coordinate with our department to arrange a technical round. I'll make sure he receives the necessary instructions and any other information required.","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"Tian, based on Anthony's performance throughout the hiring process, I believe he is a strong candidate for the Project Manager position. Can you prepare a job offer for him?
","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com," Certainly, Amadi. I will prepare a job offer outlining the terms and conditions of employment, including salary, benefits, and any other relevant details. I'll also make sure to communicate with Anthony to discuss the offer and answer any questions he may have.","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"Tian, Anthony has accepted the job offer. I'm delighted to have him join our team. What are the next steps to onboard him?","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"That's fantastic news, Amadi! I'll send Anthony all the necessary paperwork and documents required for her onboarding. I'll coordinate with the IT department to set up his workstation and ensure a smooth transition for his start date. We'll also schedule an orientation session to familiarize him with our company's HR policies and procedures.","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"Thank you, Tian. I appreciate your assistance throughout the hiring process. I'm looking forward to Anthony's contributions to our projects.
","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for Project Manager - India","Anthony Davies",2023-06-03,Hired,+1(970)888-3866,anthony.davies@mail.com,"You're welcome, Amadi. It was a pleasure working together. I have no doubt that Anthony will excel in his new role as a project manager. If you need any further assistance, please don't hesitate to reach out.","Project management ,Strong decision maker,Complex problem solver"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"Hi Lukas, After reviewing Kevin's application, I believe he meets the initial requirements for the HR assistant position. I would like to shortlist him for the next stage. Can you please schedule a skills-based interview for her?","Organizational Behavior & Development Effective Communication"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"Absolutely, Cece. I'll contact Kevin to schedule the skills-based interview. I'll provide him with the necessary details and find a suitable time for the interview.","Organizational Behavior & Development Effective Communication"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"Kevin demonstrated a strong understanding of HR processes, displayed good communication skills, and showcased his ability to handle various HR tasks efficiently. He seems to be a promising candidate for the HR assistant role.","Organizational Behavior & Development Effective Communication"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"Hi Lukas, Based on Kevin's performance throughout the hiring process, I believe he is a strong candidate for the HR assistant position and I am offering him the job. We shall work on the onboarding process upon his acceptance.","Organizational Behavior & Development Effective Communication"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"Kevin has accepted the job offer. I'm delighted to have him join our HR team. What are the next steps to onboard him?","Organizational Behavior & Development Effective Communication"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"That's fantastic news, Cece! I'll send Kevin all the necessary paperwork and documents required for his onboarding. I'll coordinate with the IT department to set up his workstation and ensure a smooth transition for his start date. We'll also schedule an orientation session to familiarize him with our company's HR policies and procedures.","Organizational Behavior & Development Effective Communication"
"Vacancy for HR Assistant - UK","Kevin Scott",2023-06-02,Hired,202-555-0120,kevinscott@gmail.com,"Thank you, Lukas. I appreciate your assistance throughout the hiring process. I'm confident that Kevin will be a valuable asset to our HR department.","Organizational Behavior & Development Effective Communication"
